"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"09/29/2024","AQS","040134010","1","36","ug/m3 SC","33","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"09/30/2024","AQS","040134010","1","51","ug/m3 SC","47","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/01/2024","AQS","040134010","1","54","ug/m3 SC","50","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/02/2024","AQS","040134010","1","101","ug/m3 SC","74","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/03/2024","AQS","040134010","1","81","ug/m3 SC","64","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/04/2024","AQS","040134010","1","64","ug/m3 SC","55","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/05/2024","AQS","040134010","1","42","ug/m3 SC","39","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/06/2024","AQS","040134010","1","36","ug/m3 SC","33","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/07/2024","AQS","040134010","1","53","ug/m3 SC","49","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/08/2024","AQS","040134010","1","62","ug/m3 SC","54","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/09/2024","AQS","040134010","1","62","ug/m3 SC","54","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/10/2024","AQS","040134010","1","54","ug/m3 SC","50","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/11/2024","AQS","040134010","1","54","ug/m3 SC","50","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/12/2024","AQS","040134010","1","43","ug/m3 SC","40","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/13/2024","AQS","040134010","1","30","ug/m3 SC","28","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/14/2024","AQS","040134010","1","41","ug/m3 SC","38","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/15/2024","AQS","040134010","1","49","ug/m3 SC","45","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/16/2024","AQS","040134010","1","38","ug/m3 SC","35","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/17/2024","AQS","040134010","1","44","ug/m3 SC","41","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/18/2024","AQS","040134010","1","57","ug/m3 SC","52","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/19/2024","AQS","040134010","1","16","ug/m3 SC","15","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/20/2024","AQS","040134010","1","32","ug/m3 SC","30","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/21/2024","AQS","040134010","1","34","ug/m3 SC","31","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/22/2024","AQS","040134010","1","38","ug/m3 SC","35","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/23/2024","AQS","040134010","1","53","ug/m3 SC","49","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/24/2024","AQS","040134010","1","49","ug/m3 SC","45","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/25/2024","AQS","040134010","1","50","ug/m3 SC","46","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/26/2024","AQS","040134010","1","41","ug/m3 SC","38","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/27/2024","AQS","040134010","1","38","ug/m3 SC","35","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/28/2024","AQS","040134010","1","61","ug/m3 SC","54","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/29/2024","AQS","040134010","1","58","ug/m3 SC","52","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/30/2024","AQS","040134010","1","26","ug/m3 SC","24","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"10/31/2024","AQS","040134010","1","41","ug/m3 SC","38","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/01/2024","AQS","040134010","1","47","ug/m3 SC","44","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/02/2024","AQS","040134010","1","29","ug/m3 SC","27","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/03/2024","AQS","040134010","1","18","ug/m3 SC","17","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/04/2024","AQS","040134010","1","19","ug/m3 SC","18","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/05/2024","AQS","040134010","1","29","ug/m3 SC","27","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/06/2024","AQS","040134010","1","40","ug/m3 SC","37","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/07/2024","AQS","040134010","1","26","ug/m3 SC","24","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/08/2024","AQS","040134010","1","31","ug/m3 SC","29","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/09/2024","AQS","040134010","1","33","ug/m3 SC","31","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/10/2024","AQS","040134010","1","31","ug/m3 SC","29","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/11/2024","AQS","040134010","1","49","ug/m3 SC","45","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/12/2024","AQS","040134010","1","48","ug/m3 SC","44","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/13/2024","AQS","040134010","1","49","ug/m3 SC","45","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/14/2024","AQS","040134010","1","70","ug/m3 SC","58","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
"11/15/2024","AQS","040134010","1","103","ug/m3 SC","75","DYSART","1","100.0000","81102","PM10 Total 0-10um STP","079","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.6371800008706","-112.34185"
